"SYMBOL","ORDER_NO","STATEMENT_DATE","SELLING_GENERAL_AND_ADMINIST","EXTRAORDINARY_ITEMS","GROSS_PROFIT","EFFECT_OF_ACCOUNTING_CHANGES","OTHER_ITEMS","TOTAL_OPERATING_EXPENSES","TOTAL_OTHER_INCOM_TO_EXPEN_NET","PREFER_STOCK_AND_OTHER_ADJUSTM","INCOME_TAX_EXPENSE","TOTAL_REVENUE","NET_INCOME","COST_OF_REVENUE","RESEARCH_DEVELOPMENT","OTHERS","OPERATING_INCOME_OR_LOSS","DISCONTINUED_OPERATIONS","EARNIN_BEFORE_INTERE_AND_TAXES","INCOME_BEFORE_TAX","MINORITY_INTEREST","NET_INCOM_APPLI_TO_COMMO_SHARE","NON_RECURRING","INTEREST_EXPENSE","NET_INCOME_FROM_CONTINUING_OPS"
"WCC",2,31-DEC-15,"1054951","","1493661","","","","","","95537","7518487","210687","6024826","","64968","373742","","373742","303910","-2801","210687","","69832","210687"
"WCG",0,31-DEC-13,"856500","","1269300","","","","-2800","","103000","9527900","175300","8258600","","119800","281100","","290200","278300","","175300","","11900","175300"
"WCG",1,31-DEC-14,"1018800","","1504700","","","","29500","","114100","12959900","63700","11455200","","274100","148300","","217200","177800","","63700","24100","39400","63700"
"WCG",2,31-DEC-15,"1132900","","1911700","","","","6100","","217500","13890200","118600","11978500","","394600","336100","","390300","336100","","118600","","54200","118600"
"WCIC",0,31-DEC-13,"39548","","65324","","","","-2463","-19680","-125709","317349","146648","252025","","","25776","","23313","20776","2288","126968","","2537","146648"
"WCIC",1,31-DEC-14,"46969","","82541","","","","1604","","14652","407003","21597","324462","","","35572","","37176","36036","1997","21597","","1140","21597"
"WCIC",2,31-DEC-15,"61592","","117284","","","","810","","20427","563616","35400","446332","","","55692","","56502","55654","1743","35400","","848","35400"
"WCN",0,31-DEC-13,"222539","","863976","","","","1056","","124916","1928795","195655","1064819","","243864","393444","","394500","320921","5125","195655","4129","73579","195655"
"WCN",1,31-DEC-14,"229474","","940778","","","","1067","","152335","2079166","232525","1138388","","257944","449269","","450336","385662","5556","232525","4091","64674","232525"
"WCN",2,31-DEC-15,"237484","","939878","","","","-518","","-31592","2117287","-95764","1177409","","269434","-61532","","-62050","-126286","6584","-95764","494492","64236","-95764"
"WD",0,31-DEC-13,"171232","","","","","","","","25257","319039","41530","","","77277","","","70530","66787","","41530","","","41530"
"WD",1,31-DEC-14,"184205","","","","","","","","32490","360772","51422","","","82344","","","94223","83912","","51422","","","51422"
"TCB",0,31-DEC-13,"811900","","","","","","","-19065","84345","1268598","151668","36604","","142868","","","268357","243045","11791","132603","8869","25312","151668"
"TCB",1,31-DEC-14,"844625","","","","","","","-19388","99766","1307496","174187","38385","","122889","","","301597","281382","13715","154799","","20215","174187"
