"SYMBOL","ORDER_NO","STATEMENT_DATE","SELLING_GENERAL_AND_ADMINIST","EXTRAORDINARY_ITEMS","GROSS_PROFIT","EFFECT_OF_ACCOUNTING_CHANGES","OTHER_ITEMS","TOTAL_OPERATING_EXPENSES","TOTAL_OTHER_INCOM_TO_EXPEN_NET","PREFER_STOCK_AND_OTHER_ADJUSTM","INCOME_TAX_EXPENSE","TOTAL_REVENUE","NET_INCOME","COST_OF_REVENUE","RESEARCH_DEVELOPMENT","OTHERS","OPERATING_INCOME_OR_LOSS","DISCONTINUED_OPERATIONS","EARNIN_BEFORE_INTERE_AND_TAXES","INCOME_BEFORE_TAX","MINORITY_INTEREST","NET_INCOM_APPLI_TO_COMMO_SHARE","NON_RECURRING","INTEREST_EXPENSE","NET_INCOME_FROM_CONTINUING_OPS"
"PEI",2,31-DEC-15,"36923","","255364","","","","12621","-15848","","425411","-116683","170047","","142647","-70632","","-58011","-139107","155369","-132531","146426","81096","-129567"
"PEIX",0,31-DEC-13,"14021","","32930","","","","-4400","-1265","","908437","-781","875507","","","18909","","14509","-1162","5683","-2046","","15671","-3816"
"PEIX",1,31-DEC-14,"17108","","108485","","","","-40800","-1850","15137","1107412","21289","998927","","","91377","","50577","41139","4475","19439","","9438","18926"
"PEIX",2,31-DEC-15,"23412","","7410","","","","1659","-1265","-10034","1191176","-18786","1183766","","","-17972","","-16313","-28907","","-20051","1970","12594","-18786"
"PEN",0,31-DEC-13,"44918","","57876","","","","-474","","-5354","88848","4099","30972","14084","","-1126","","-1255","-1255","","887","","","4099"
"PEN",1,31-DEC-14,"64258","","82842","","","","-309","","894","125510","2245","42668","15575","","3009","","3139","3139","","-833","","","2245"
"PRSC",2,31-DEC-15,"73616","","151081","","","","857","","16276","1695446","83696","1544365","","53469","23996","101800","13883","-2330","-452","68601","","16213","-18606"
"PRSS",0,31-DEC-13,"48671","","53733","","","","33","","6973","146195","-13913","92462","13461","","-8511","1651","-8478","-8591","","-13913","112","113","-15564"
"PRSS",1,31-DEC-14,"50078","","47038","","","","24","","-1700","132054","-15907","85016","13448","","-16580","-974","-16556","-16633","","-15907","92","77","-14933"
"PRSS",2,31-DEC-15,"33045","","41439","","","","122","","128","104508","2155","63069","12490","","-6195","8418","-6073","-6135","","2155","2099","62","-6263"
"PRTA",0,31-DEC-13,"15051","","676","","","","-154","","415","676","-40996","","26052","","-40427","","-40581","-40581","","-40996","","","-40996"
"PRTA",1,31-DEC-14,"19051","","50854","","","","310","","811","50854","-7150","","38452","","-6649","","-6339","-6339","","-7150","","","-7150"
"PRTA",2,31-DEC-15,"23105","","1607","","","","26","","701","1607","-80612","","58439","","-79937","","-79911","-79911","","-80612","","","-80612"
"PRTK",0,31-DEC-13,"3387","","478","","","","3181","-6766","","478","-4653","","4631","","-7540","","-4359","-4653","","-11419","","294","-4653"
"PRTK",1,31-DEC-14,"5848","","4342","","","","-9319","-1927","","4342","-17835","","5014","","-7798","","-17117","-17835","","-19762","1278","718","-17835"
"PRTK",2,31-DEC-15,"16428","","","","","","-37","","","","-70860","","50765","","-70053","","-70090","-70860","","-70860","2860","770","-70860"
"PRTO",0,31-DEC-13,"3128","","","","","","71","-6119","","","-7912","","3994","","-7122","","-7051","-7912","","-14031","","861","-7912"
"PRTO",1,31-DEC-14,"4096","","2948","","","","5095","-6353","","2948","-3342","","6432","","-7580","","-2485","-3342","","-9695","","857","-3342"
"PRTO",2,31-DEC-15,"8489","","","","","","-507","","","","-21377","","12381","","-20870","","-21377","-21377","","-21377","","","-21377"
"PRTS",0,28-DEC-13,"82442","","74133","","","","148","","43","254753","-15634","180620","","381","-14767","","-14619","-15591","","-15634","6077","972","-15634"
"PRTS",1,03-JAN-15,"83940","","78450","","","","65","","138","283508","-6879","205058","","422","-5912","","-5847","-6948","2946","-6879","","1101","-6879"
"PRTS",2,02-JAN-16,"85025","","83434","","","","36","","-811","291091","-1281","207657","","464","-2055","","-2019","-3235","1803","-1281","","1216","-1281"
"PRTY",0,31-DEC-13,"597512","","785925","","","","-18478","","-4525","2045113","4019","1259188","19311","","161602","","143124","-282","","4019","7500","143406","4019"
"PRTY",1,31-DEC-14,"633019","","895551","","","","-5891","","25211","2271257","56123","1375706","19390","","243142","","237251","81334","","56123","","155917","56123"
"PRTY",2,31-DEC-15,"630790","","923649","","","","-130990","","7409","2294533","10459","1370884","20640","","272219","","141229","17868","","10459","","123361","10459"
"PRU",0,31-DEC-13,"16172000","","14488000","","","","","","-1058000","41461000","-667000","26973000","","","-1684000","7000","-1684000","-1684000","603000","-667000","","","-567000"
"PRU",1,31-DEC-14,"18786000","","20545000","","","","","","349000","54105000","1381000","33560000","","","1759000","12000","1759000","1759000","579000","1381000","","","1426000"
"PRU",2,31-DEC-15,"16603000","","24372000","","","","","","2072000","57119000","5642000","32747000","","","7769000","","7769000","7769000","33000","5642000","","","5712000"
"PRXL",0,30-JUN-13,"318806","","526906","","","","4265","","37178","1995966","95972","1469060","","73186","136123","","140388","133150","","95972","-1209","7238","95972"
"PRXL",1,30-JUN-14,"379800","","660182","","","","-2549","","58767","2266342","129094","1606160","","81328","199498","","196949","187861","","129094","-444","9088","129094"
"PRXL",2,30-JUN-15,"367192","","671828","","","","7387","","52409","2330274","147821","1658446","","84939","199852","","207239","200230","","147821","19845","7009","147821"
"PRZM",0,31-DEC-13,"2688","","","","","","25","","","","-2663","","","","-2688","","-2663","-2663","","-2663","","","-2663"
"PRZM",1,31-DEC-14,"2676","","","","","","30","","","","-2647","","","1","-2677","","-2647","-2647","","-2647","","","-2647"
"PRZM",2,31-DEC-15,"4289","","389","","","","19901","","","700","-21643","311","","12877","-40624","","-20723","-21643","","-21643","23847","920","-21643"
"NOG",0,31-DEC-13,"51534","","293915","","","","-453","","31768","335774","53067","41859","","124383","117997","","117544","84835","","53067","","32709","53067"
"NOG",1,31-DEC-14,"61276","","539331","","","","47","","99367","595027","163746","55696","","172884","305171","","305219","263113","","163746","","42106","163746"
"NOG",2,31-DEC-15,"40609","","222949","","","","-30","","-202424","275057","-975355","52108","","137770","-1119388","","-1119418","-1177779","","-975355","1163959","58360","-975355"
"NOK",0,31-DEC-13,"2751000","","6391000","","","","","","373000","16253000","-1018000","9862000","2715000","","926000","-1195000","550000","550000","265000","-1018000","","","176000"
"NOK",1,31-DEC-14,"1872000","","5938000","","","","","","-2080000","14233000","4206000","8295000","2357000","","1709000","917000","1209000","1209000","70000","4206000","","","3289000"
"NOK",2,31-DEC-15,"1781000","","5924000","","","","","","376000","13578000","2681000","7654000","2309000","","1834000","1384000","1673000","1673000","23000","2681000","","","1297000"
"NOMD",0,31-DEC-14,"307600","","641300","","","","8200","","50600","1816200","-132000","1174800","","","269700","","278000","-81400","","-132000","64000","359400","-132000"
"NOMD",1,31-MAR-15,"179200","","","","","","100","","","","-179900","","","","-180000","","-179900","-179900","","-179900","800","","-179900"
"NOMD",2,31-DEC-15,"529300","","251200","","","","9500","","-13400","971400","-366400","720200","","","-341200","","-331800","-379800","","-366400","63100","48000","-366400"
"NORD",0,01-SEP-13,"82200","","133300","","","","2300","","19300","323700","-23300","190400","","6100","45000","","47300","-4000","","-23300","","51300","-23300"
"NORD",1,31-AUG-14,"193100","","194300","","","","2000","","25700","474600","-90400","280300","","12400","-11200","","-9200","-64700","","-90400","","55500","-90400"
"NORD",2,31-AUG-15,"148800","","221100","","","","2800","","12200","577000","8600","355900","","14600","57700","","60500","20800","3900","8600","","39700","8600"
"NOV",0,31-DEC-13,"1905000","","5104000","","","","-27000","","943000","19221000","2327000","14117000","","","3199000","147000","3235000","3124000","100000","2327000","","111000","2181000"
"NOV",1,31-DEC-14,"2092000","","5809000","","","","-72000","","1039000","21440000","2502000","15631000","","","3613000","52000","3599000","3494000","80000","2502000","104000","105000","2455000"
"NOV",2,31-DEC-15,"1764000","","3063000","","","","-109000","","178000","14757000","-769000","11694000","","","-390000","","-486000","-589000","77000","-769000","1689000","103000","-767000"
"NOVT",0,31-DEC-13,"76337","","132227","","","112781","199","","6200","316910","7309","184683","23787","7270","19446","-2646","16177","16177","419","7309","5387","","9977"
"NOVT",1,31-DEC-14,"84380","","150167","","","166973","3987","","-1006","364706","-24252","214539","28954","10262","-16806","-7333","-17915","-17915","429","-24252","43377","","-16909"
"NOVT",2,31-DEC-15,"82049","","157890","","","128957","22269","","10394","373598","35615","215708","31043","7611","28933","-13","46022","46022","","35615","8254","","35628"
"NOW",0,31-DEC-13,"256980","","269391","","","","-1432","","2511","424650","-73708","155259","78678","","-66267","","-67699","-71197","","-73708","","3498","-73708"
"NOW",1,31-DEC-14,"437364","","433787","","","","5354","","3847","682563","-179387","248776","148258","","-151835","","-146481","-175540","","-179387","","29059","-179387"
"NOW",2,31-DEC-15,"625043","","676067","","","","4450","","5414","1005480","-198426","329413","217389","","-166365","","-161915","-193012","","-198426","","31097","-198426"
"NP",0,31-DEC-13,"76400","","159900","","","","-300","","23100","781700","52000","621800","","","82600","3500","82800","71600","","52000","400","11200","48500"
"NP",1,31-DEC-14,"81700","","170800","","","","100","","7500","839700","68700","668900","","","86600","700","86900","75500","","68700","2300","11400","68000"
"NP",2,31-DEC-15,"87500","","195400","","","","200","","29400","887700","51100","692300","","","101400","-9400","101600","89900","","51100","6500","11700","60500"
"NPD",0,31-DEC-13,"189686","","194636","","","","3460","","5302","445845","1954","251209","","","3796","","7256","7256","","1954","1154","","1954"
"NPD",1,31-DEC-14,"197224","","198343","","","","2520","","4267","476034","-2220","277691","","","-473","","2047","2047","","-2220","1592","","-2220"
"NPD",2,31-DEC-15,"196604","","207561","","","","1759","","5129","497790","6133","290228","","","9503","","11262","11262","","6133","1455","","6133"
"NPK",0,31-DEC-13,"18231","","79352","","","","731","","17093","420188","41252","340836","","667","57614","","58345","58345","","41252","2840","","41252"
"OLED",0,31-DEC-13,"24745","","117750","","","79506","811","","-35044","146639","74052","28889","34215","17273","38244","","39055","39008","","74052","3273","47","74052"
"OLED",1,31-DEC-14,"28135","","149716","","","91096","777","","17473","191031","41854","41315","41154","17288","58620","","59397","59327","","41854","4519","70","41854"
"OLED",2,31-DEC-15,"29046","","128049","","","95773","837","","18381","191046","14678","62997","44641","16716","32276","","33113","33059","","14678","5370","54","14678"
"OLLI",0,01-FEB-14,"153807","","216810","","","","-1848","","11277","540718","19541","323908","","8011","50159","","48311","30818","","19541","4833","17493","19541"
"OLLI",1,31-JAN-15,"178832","","253510","","","","-671","","16763","637975","26915","384465","","6987","62781","","62110","43678","","26915","4910","18432","26915"
"OLLI",2,30-JAN-16,"209783","","302864","","","","-6710","","21607","762370","35839","459506","","7172","79572","","72862","57446","","35839","6337","15416","35839"
"OLN",0,31-DEC-13,"189300","","481300","","","","-700","","71400","2515000","178600","2033700","","","286500","","288600","250000","","178600","5500","38600","178600"
"OLN",1,31-DEC-14,"164700","","388000","","","","1400","","57700","2241200","105700","1853200","","","203400","700","206500","162700","","105700","19900","43800","105000"
"OLN",2,31-DEC-15,"140800","","367600","","","","1300","","8100","2854400","-1400","2486800","","","100700","","103700","6700","","-1400","126100","97000","-1400"
"OLP",0,31-DEC-13,"8364","","47766","","","","4802","","","50979","17875","3213","","11919","26562","515","31364","16758","1158","17875","921","14606","17409"
"OLP",1,31-DEC-14,"9592","","56070","","","","8762","","","60477","22116","4407","","14662","30244","13","39006","21664","1628","22116","1572","17342","22197"
"OLP",2,31-DEC-15,"10178","","59664","","","","5892","","","65711","20517","6047","","16384","32653","","38545","21495","1931","20517","449","17050","21907"
"OMAB",0,31-DEC-13,"50870","","158574","","","","5074","","-10298","260977","91727","102403","","15364","92340","","97414","81429","1297","91727","","15985","91727"
"OMAB",1,31-DEC-14,"52682","","167539","","","","3710","","15763","253036","69673","85497","","15196","99662","","103372","85436","3473","69673","","17936","69673"
"OMAB",2,31-DEC-15,"49729","","181473","","","","2719","","29651","260125","71601","78652","","13827","117917","","120635","101252","4711","71601","","19383","71601"
"OMAM",0,31-DEC-13,"730100","","706300","","","","87900","","13300","706300","25700","","","147900","-171700","600","138500","-83800","2579400","25700","309100","222300","-97100"
"OMAM",1,31-DEC-14,"853300","","870100","","","","85600","","12800","870100","51700","","","134600","-117800","1200","154000","-32200","2459000","51700","340000","186200","-45000"
"OMAM",2,31-DEC-15,"501000","","696200","","","","13200","","46600","696200","155500","","","7100","188100","800","204400","201300","","155500","","3100","154700"
"OMC",0,31-DEC-13,"","","14584500","","","","32800","","565200","14584500","991100","","","","1825300","","1858100","1660900","485500","991100","","197200","991100"
"OMC",1,31-DEC-14,"","","15317800","","","","43100","","593100","15317800","1104000","","","","1944100","","1987200","1810000","471300","1104000","","177200","1104000"
"OMC",2,31-DEC-15,"","","15134400","","","","39600","","583600","15134400","1093900","","","","1920100","","1959700","1778600","437000","1093900","","181100","1093900"
"OMCL",0,31-DEC-13,"138995","","203399","","","","","","11050","380585","23979","177186","29105","","35299","","35029","35029","","23979","","","23979"
"OMCL",1,31-DEC-14,"156475","","233860","","","","","","17986","440900","30518","207040","27802","","49583","","48504","48504","","30518","","","30518"
"OMCL",2,31-DEC-15,"167581","","247930","","","","3443","","15484","484559","30760","236629","35160","","48632","","46244","46244","","30760","","","30760"
"OME",0,31-DEC-13,"31890","","82750","","","","-568","","15464","244293","30515","161543","2407","","48013","","47619","45979","","30515","266","1640","30515"
"OME",1,31-DEC-14,"38574","","77617","","","","-510","","11746","308635","18461","231018","2277","","31586","","31538","30207","","18461","4718","1331","18461"
"OME",2,31-DEC-15,"47509","","98903","","","","-3523","","14620","359311","23975","260408","3283","","41789","","40093","38595","","23975","4495","1498","23975"
"OMED",0,31-DEC-13,"11630","","37779","","","","","","1944","37779","-26071","","50048","","-23899","","-24127","-24127","","-26071","","","-26071"
"OMED",1,31-DEC-14,"13753","","39559","","","","","","-509","39559","-50010","","76430","","-50624","","-50519","-50519","","-50010","","","-50010"
"OMED",2,31-DEC-15,"18583","","25899","","","","","","20","25899","-85407","","92873","","-85557","","-85387","-85387","","-85407","","","-85407"
"PEN",2,31-DEC-15,"101852","","124058","","","","-696","","1659","186095","2365","62037","18027","","4179","","4024","4024","","1084","","","2365"
"PENN",0,31-DEC-13,"516251","","1194092","","","","-52269","","-33580","2777886","-581252","1583794","","303404","-423868","11545","-466480","-626377","","-581252","798305","159897","-592797"
"PENN",1,31-DEC-14,"440762","","1124576","","","","6674","","30519","2590527","-183822","1465951","","266742","257188","","271811","-153303","","-183822","159884","425114","-183822"
"PENN",2,31-DEC-15,"449433","","1216782","","","","17403","","55924","2838358","686","1621576","","259461","467846","","499737","56610","","686","40042","443127","686"
"PEO",0,31-DEC-06,"1813","","114944","","","","","","","117965","113131","3021","","","113131","","9844","9844","","113131","","","113131"
"PEO",1,31-DEC-07,"1926","","241431","","","","-90","","","242175","237176","744","2239","","237266","","10071","10071","","237176","","","237176"
"PEO",2,31-DEC-08,"3579","","71097","","","","-457067","","","71959","-389548","861","","","67519","","67519","67519","","-389548","","","-389548"
"PEP",0,28-DEC-13,"25357000","","35172000","","","","97000","","2104000","66415000","6740000","31243000","","110000","9705000","","9802000","8891000","110000","6740000","","911000","6740000"
"PEP",1,27-DEC-14,"26126000","","35799000","","","","85000","","2199000","66683000","6513000","30884000","","92000","9581000","","9666000","8757000","110000","6513000","","909000","6513000"
"PEP",2,26-DEC-15,"24885000","","34672000","","","","59000","","1941000","63056000","5452000","28384000","","75000","8353000","","8412000","7442000","107000","5452000","1359000","970000","5452000"
"PER",0,31-DEC-13,"10520","","122256","","","","8934","","","122256","120670","","","","111736","","120670","120670","","120670","","","120670"
"PER",1,31-DEC-14,"10421","","130174","","","","3262","","","130174","123015","","","","119753","","123015","123015","","123015","","","123015"
"PER",2,31-DEC-15,"6800","","61175","","","","26605","","","61175","80980","","","","54375","","80980","80980","","80980","","","80980"
"PERF",0,01-FEB-14,"240992","","252165","","","","","","901","575857","-12465","323692","","11973","-1291","","-1291","-11564","","-12465","491","10273","-12465"
"PERF",1,31-JAN-15,"247616","","271124","","","","","","547","583955","2647","312831","","10326","12538","","12538","3194","","2647","644","9344","2647"
"PERF",2,30-JAN-16,"249837","","257624","","","","","","451","541964","-11671","284340","","10784","-4029","","-4029","-11220","","-11671","1032","7191","-11671"
"PERI",0,31-DEC-13,"214768","","319404","","","","","","22616","325508","28613","6104","22394","","82242","-33795","85024","85024","","28613","","","62408"
"PERI",1,31-DEC-14,"237568","","360914","","","","","","9581","388731","42826","27817","44129","","55295","","52407","52407","","42826","23922","","42826"
"PERI",2,31-DEC-15,"151007","","204755","","","","","","697","220950","-68657","16195","26377","","-66021","","-67960","-67960","","-68657","93392","","-68657"
"PERY",0,01-FEB-14,"272716","","302788","","","","6162","","-11615","912224","-22779","609436","","12626","-19369","","-19369","-34394","","-22779","42977","15025","-22779"
"PERY",1,31-JAN-15,"268783","","303004","","","","885","","45792","889972","-37175","586968","","12198","22908","","22908","8617","","-37175","","14291","-37175"
"PERY",2,30-JAN-16,"275863","","319067","","","","-1342","","-432","899515","-7292","580448","","13693","6664","","1543","-7724","","-7292","26626","9267","-12413"
"PES",0,31-DEC-13,"94183","","683890","","","","182","","-19846","960186","-35932","276296","","187918","-6229","","-7468","-55778","","-35932","409439","48310","-35932"
"PES",1,31-DEC-14,"103385","","715533","","","","-16710","","-11304","1055223","-38018","339690","","183376","23984","","-10541","-49322","","-38018","422603","38781","-69239"
"PES",2,31-DEC-15,"73903","","326958","","","","-453","","-37579","540778","-155140","213820","","150939","-166700","","-171497","-192719","","-155140","273160","21222","-157326"
"PESI",0,31-DEC-13,"14376","","9816","","","","-22","","-625","74413","-36039","64597","1764","","-34229","-1568","-34202","-35096","","-35975","27856","894","-34471"
"PESI",1,31-DEC-14,"11973","","11908","","","","-7","","417","57065","-1304","45157","1315","","-1719","1688","-1767","-2575","333","-1225","380","808","-2992"
"PESI",2,31-DEC-15,"10996","","14351","","","","144","","543","62383","-1927","48032","2302","","1133","-1864","1197","480","-137","-1050","","717","-63"
"PETS",0,31-MAR-14,"48532","","77617","","","","181","","10427","233391","17972","155774","","867","28218","","28399","28399","","17972","","","17972"
"PETS",1,31-MAR-15,"47997","","76270","","","","185","","10345","229395","17453","153125","","660","27613","","27798","27798","","17453","","","17453"
"PETS",2,31-MAR-16,"43138","","76296","","","","179","","12000","234684","20567","158388","","770","32388","","32567","32567","","20567","","","20567"
"PSA",0,31-DEC-13,"66679","","1405183","","","","55294","-207722","","1964942","1052453","559759","","387402","951102","","1006396","999952","27125","844731","","6444","1052453"
"PSA",1,31-DEC-14,"71459","","1563972","","","","13070","-236028","","2177296","1144204","613324","","437114","1055399","","1068469","1061688","26375","908176","","6781","1144204"
"PSA",2,31-DEC-15,"88177","","1746194","","","","35353","-258194","","2381696","1311244","635502","","426008","1232009","","1267362","1266752","26997","1053050","","610","1311244"
"PSB",0,31-DEC-13,"5312","","245054","","","","1485","-59341","","359885","103192","114831","","108917","130825","","132310","116144","196699","43851","","16166","103192"
"PSB",1,31-DEC-14,"13639","","249544","","","","92745","-60817","","376915","173971","127371","","110357","125548","","218293","204700","194928","113154","","13593","173971"
"PSB",2,31-DEC-15,"13582","","252451","","","","28825","-62184","","373675","130475","121224","","105394","133475","","162300","148970","200103","68291","","13330","130475"
"PSDV",0,30-JUN-13,"7169","","2143","","","","14","","-117","2143","-11900","","7005","","-12031","","-12017","-12017","","-11900","","","-11900"
"PSDV",1,30-JUN-14,"7468","","3473","","","","83","","-130","3473","-13355","","9573","","-13490","","-13485","-13485","","-13355","","","-13355"
"PSDV",2,30-JUN-15,"8056","","26565","","","","22","","96","26565","6347","","12088","","6421","","6443","6443","","6347","","","6347"
"PSEC",0,30-JUN-13,"174715","","499995","","","","-104068","","","499995","220856","","","","324924","","297197","220856","","220856","356","76341","220856"
"PSEC",1,30-JUN-14,"224592","","582188","","","","-38203","","","582188","319020","","","","357223","","449123","319020","","319020","373","130103","319020"
"PSEC",2,30-JUN-15,"257094","","620424","","","","-16408","","","620424","346339","","","","362747","","520949","350289","","346339","583","170660","346339"
"PSG",0,31-MAY-14,"104563","","154336","","","","5946","","6281","446179","19987","291843","19762","","30011","","35957","26268","","19987","","9689","17398"
"PSG",1,31-MAY-15,"140004","","206387","","","","-15093","","3370","654691","3282","448304","24800","","41583","","26490","6652","","3282","","19838","3282"
"PSIX",0,31-DEC-13,"19120","","44526","","","","-28311","","4759","237842","-18760","193316","10439","","14967","","-13344","-14001","","-18760","","657","-19030"
"PSIX",1,31-DEC-14,"23088","","67045","","","","9826","","10813","347995","23726","280950","16900","1013","26044","","35870","34539","","23726","","1331","23726"
"PSIX",2,31-DEC-15,"27376","","62834","","","","9022","","-388","389446","14278","326612","21681","4582","9195","","18217","13890","","14278","","4327","14278"
"PSMT",0,31-AUG-13,"240924","","370384","","","","-508","","38942","2299812","84265","1929428","","","127046","","127427","123211","","84265","1525","4216","84265"
"PSMT",1,31-AUG-14,"262420","","403903","","","","392","","41372","2517567","92886","2113664","","","136707","","138544","134249","","92886","3331","4295","92886"
"PSMT",2,31-AUG-15,"297656","","449764","","","","-5335","","47566","2802603","89124","2352839","","","146366","","143036","136596","","89124","3737","6440","89124"
"PSO",0,31-DEC-13,"3647000","","4315000","","","","61000","","146000","7831000","893000","3516000","","","714000","446000","775000","593000","10000","893000","","182000","447000"
"PSO",1,31-DEC-14,"3313000","","3928000","","","","73000","","87000","7079000","733000","3151000","","","543000","423000","616000","398000","9000","733000","120000","218000","310000"
"PSO",2,31-DEC-15,"3086000","","3666000","","","","105000","","-119000","6585000","1213000","2920000","","","-595000","1732000","-491000","-638000","6000","1213000","1251000","147000","-519000"
"PSTB",0,31-DEC-13,"63070","","","","","","","-353","7359","93891","15305","4108","","1775","","","24938","22664","","14952","","2274","15305"
"PSTB",1,31-DEC-14,"72665","","","","","","","","6058","99250","12889","5425","","-17","","","21177","18947","","12889","","2230","12889"
"PSTB",2,31-DEC-15,"72764","","","","","","","","8142","107555","16606","5651","","2112","","","27028","24748","","16606","","2280","16606"
"PSTG",0,31-JAN-14,"60652","","18604","","","","-141","","291","42733","-78561","24129","36081","","-78129","","-78270","-78270","","-78561","","","-78561"
"PSTG",1,31-JAN-15,"184674","","96899","","","","-1412","","1337","174451","-183231","77552","92707","","-180482","","-181894","-181894","","-183231","","","-183231"
"PSTG",2,31-JAN-16,"315976","","272440","","","","-2002","","1569","440333","-213752","167893","166645","","-210181","","-212183","-212183","","-213752","","","-213752"
"NPK",1,31-DEC-14,"23216","","77201","","","","366","","13820","412363","26477","335162","","11991","39931","","40297","40297","","26477","2063","","26477"
"NPK",2,31-DEC-15,"24010","","89577","","","","396","","20294","427690","40496","338113","","5173","60394","","60790","60790","","40496","","","40496"
"NPO",0,31-DEC-13,"294900","","381300","","","","-5500","","8400","1144200","27400","762900","","","86400","","80900","35800","","27400","","45100","27400"
"NPO",1,31-DEC-14,"323300","","416700","","","","14300","","10600","1219300","22000","802600","","","63400","","77700","32600","","22000","30000","45100","22000"
"NPO",2,31-DEC-15,"310900","","395500","","","","-3400","","2300","1204400","-20900","808900","","","37600","","34200","-18600","","-20900","47000","52800","-20900"
"NPTN",0,31-DEC-13,"45280","","65173","","","98846","1534","","1204","282242","-34339","217069","45853","1532","-33673","","-32139","-33135","","-34339","6181","996","-34339"
"NPTN",1,31-DEC-14,"40382","","71118","","","90250","3201","","2519","306177","-19719","235059","45959","1502","-19132","","-15931","-17200","","-19719","2407","1269","-19719"
"NPTN",2,31-DEC-15,"47458","","99081","","","95128","4062","","3104","339439","3668","240358","44533","1791","3953","","8015","6772","","3668","1346","1243","3668"
"NQ",0,31-DEC-13,"102836","","115774","","","","3872","","1117","196702","-1856","80928","17437","","-4499","","-216","-216","6404","-1856","","","-1856"
"NQ",1,31-DEC-14,"160963","","105673","","","","13221","","5518","332324","-76738","226651","25665","","-80955","","-73094","-73094","57128","-76738","","","-76738"
"NQ",2,31-DEC-15,"92210","","87339","","","","47279","","9243","406691","-1303","319352","29020","","-33891","","8726","8726","54929","-1303","","","-1303"
"NR",0,31-DEC-13,"89444","","183889","","","","-1819","","28725","1042356","65323","858467","","","94445","12701","92626","81347","","65323","","11279","52622"
"NR",1,31-DEC-14,"110821","","241417","","","","-108","","41048","1118416","102278","876999","","","130596","23269","130488","120057","","102278","","10431","79009"
"NR",2,31-DEC-15,"98606","","77852","","","","-4016","","-21398","676865","-90828","599013","","","-99099","","-103115","-112226","","-90828","78345","9111","-90828"
"NRCIA",0,31-DEC-13,"25208","","53746","","","","79","","9004","92590","15484","38844","","3732","24806","","24885","24488","","15484","","397","15484"
"NRCIA",1,31-DEC-14,"25018","","57118","","","","101","","9936","98837","18156","41719","","3804","28296","","28397","28092","","18156","","305","18156"
"NRCIA",2,31-DEC-15,"27177","","57733","","","","1133","","9750","102343","17610","44610","","4109","26447","","27580","27360","","17610","","220","17610"
"NRE",0,31-DEC-14,"37574","","6919","","","","775","","","11213","-36637","4294","","3382","-34037","","-33262","-36913","1058","-36637","","3651","-36637"
"NRE",1,31-DEC-15,"137321","","93980","","","","-7355","","-675","120539","-143136","26559","","56283","-101334","","-108689","-144818","10173","-143136","1710","36129","-143136"
"OMER",0,31-DEC-13,"15819","","1600","","","","13086","","","1600","-39796","","36297","","-50516","","-37430","-39796","","-39796","","2366","-39796"
"OMER",1,31-DEC-14,"22601","","539","","","","-195","","","539","-73673","","47946","","-70008","","-70203","-73673","","-73673","","3470","-73673"
"OMER",2,31-DEC-15,"35327","","12468","","","","-285","","","13509","-75096","1041","48379","","-71238","","-71523","-75096","","-75096","","3573","-75096"
"OMEX",0,31-DEC-13,"14161","","23219","","","","6183","","496","23914","-10741","695","26025","","-16967","","-10784","-14365","-4120","-10741","","3582","-10741"
"OMEX",1,31-DEC-14,"9791","","1076","","","","1132","","-481","1323","-26473","247","19477","","-28193","","-27583","-29144","-6309","-26473","","1560","-26996"
"OMEX",2,31-DEC-15,"13979","","3883","","","","4825","","","5330","-18207","1447","11429","","-21524","","-16699","-21251","-9353","-18207","","4552","-18207"
"OMF",0,31-DEC-13,"782000","","","","","","","","-16000","2307000","-19000","","","527000","","","998000","78000","346608","-19000","","","-19000"
"OMF",1,31-DEC-14,"701000","","","","","","","","297000","2814000","505000","","","474000","","","1639000","905000","-188000","505000","","","505000"
"OMF",2,31-DEC-15,"925000","","","","","","","","-147000","2192000","-242000","","","759000","","","446000","-269000","-146000","-242000","62000","","-242000"
"OMI",0,31-DEC-13,"855962","","1117075","","","","","","74103","9071532","110882","7954457","","50586","198083","","184985","184985","1130","110882","12444","","110882"
"OMI",1,31-DEC-14,"910504","","1169966","","","","-14890","","59980","9440182","66503","8270216","","57125","159536","","126483","126483","","66503","42801","","66503"
"OMI",2,31-DEC-15,"925623","","1214573","","","","","","69801","9772946","103409","8558373","","60187","200359","","173210","173210","","103409","28404","","103409"
"OMN",0,30-NOV-13,"118100","","212700","","","","4700","","6000","1018100","19600","805400","","33600","53700","-900","58400","26500","","19600","7300","31900","20500"
"OMN",1,30-NOV-14,"120200","","199400","","","","1100","","-400","987400","11500","788000","","34800","43500","-600","44600","11700","","11500","900","32900","12100"
"OMN",2,30-NOV-15,"119300","","193900","","","","-7700","","-2400","838000","-17800","644100","","34000","14900","900","7200","-21100","","-17800","25700","28300","-18700"
"ON",0,31-DEC-13,"319700","","929100","","","720200","-300","","16400","2782700","150400","1853600","334200","33100","208900","","208600","170000","32800","150400","33200","38600","147300"
"ON",1,31-DEC-14,"380900","","1084900","","","856000","-2900","","-200","3161800","189700","2076900","366600","68400","228900","","226000","191900","20900","189700","40100","34100","189700"
"ON",2,31-DEC-15,"386600","","1193200","","","932100","8400","","10800","3495800","206200","2302600","396700","135700","261100","","269500","219800","23700","206200","13100","49700","205800"
